[Info]
Lang=1
1=Japanese
ExtComment=0

[TagDefinitions]
,I02044,"X00715追掛用冷水P(P-BTa-1)故障"
,I02045,"X00716追掛用冷水P(P-BTa-2)状態"
,I02046,"X00716追掛用冷水P(P-BTa-2)故障"
,I02047,"X00801放熱用冷水P(P-ITa-1)状態"
,I02048,"X00802放熱用冷水P(P-ITa-1)故障"
,I02049,"X00803放熱用冷水P(P-ITa-2)状態"
,I02050,"X00804放熱用冷水P(P-ITa-2)故障"
,I02051,"X00805R-BTa冷凍機製氷モ-ド"
,I02063,"X00901XCV-301　開"
,I02064,"X00902XCV-301　閉"
,I02065,"X00903XCV-302　開"
,I02066,"X00904XCV-302　閉"
,I02067,"XCV-303　開"
,I02068,"XCV-303　閉"
,I02069,"TCV-301　開"
,I02070,"TCV-301　閉"
,I02071,"TCV-302　開"
,I02072,"TCV-302　閉"
,I02073,"XCV-304　開"
,I02074,"XCV-304　閉"
,I02075,"TCV-303　開"
,I02076,"TCV-303　閉"
,I02077,"TCV-304　開"
,I02078,"TCV-304　閉"
,I02079,"Y01001 RBTa ON"
,I02080,"Y01002 RBTa OFF"
,I02081,"Y01003 RBTa 冷房ﾓｰﾄﾞ"
,I02082,"Y01004 RBTa 製氷ﾓｰﾄﾞ"
,I02083,"Y01005 SP-BTa 蓄熱ON"
,I02084,"Y01006 SP-BTa 追掛ON"
,I02085,"Y01007PPITa放熱ON"
,I02086,"Y01008 PPITa 残留停止"
,I02093,"Y01101 XCV301 ON"
,I02094,"Y01102 XCV302 ON"
,I02095,"Y01103 XCV303 ON"
,I02096,"Y01104 XCV304 ON"
,I02097,"Y01105R-BTa冷凍機運転状態"
,I02098,"Y01106 TCV302 ｲﾝﾀｰﾛｯｸ"
,I02099,"Y01107 TCV303 ｲﾝﾀｰﾛｯｸ"
,I02100,"Y01108R-BTa蓄熱運転状態"
,I02101,"Y01109R-BTa冷凍機運転状態"
,I02102,"Y01110R-BTa放熱運転状態"
,I02103,"HEX-BTa凍結温度警報"
,I02104,"HEX-ITa凍結温度警報"
,I02131,"ＲＢＴｂ圧縮機Ｎｏ１運転"
,I02132,"X10703RBTb:AL"
,I02133,"(SP-BTb-1)状態"
,I02134,"(SP-BTb-1)故障"
,I02135,"(SP-BTb-2)状態"
,I02136,"(SP-BTb-2)故障"
,I02137,"(SP-BTb-3)状態"
,I02138,"(SP-BTb-3)故障"
,I02139,"放熱用(PP-ITb-1)状態"
,I02140,"放熱用(PP-ITb-1)故障"
,I02141,"放熱用(PP-ITb-2)状態"
,I02142,"放熱用(PP-ITb-2)故障"
,I02143,"追掛用(P-BTb-1)状態"
,I02144,"追掛用(P-BTb-1)故障"
,I02145,"追掛用(P-BTb-2)状態"
,I02146,"追掛用(P-BTb-2)故障"
,I02147,"放熱用(P-ITb-1)状態"
,I02148,"放熱用(P-ITb-1)故障"
,I02149,"放熱用(P-ITb-2)状態"
,I02150,"放熱用(P-ITb-2)故障"
,I02151,"R-BTb冷凍機製氷モ-ド"
,I02157,"X10811ＲＢＴａ圧縮機Ｎｏ２運転"
,I02159,"ＲＢＴｂ圧縮機Ｎｏ２運転"
,I02163,"XCV-401　開"
,I02164,"XCV-401　閉"
,I02165,"XCV-402　開"
,I02166,"XCV-402　閉"
,I02167,"XCV-403　開"
,I02168,"XCV-403　閉"
,I02169,"TCV-401　開"
,I02170,"TCV-401　閉"
,I02171,"TCV-402　開"
,I02172,"TCV-402　閉"
,I02173,"XCV-404　開"
,I02174,"XCV-404　閉"
,I02175,"TCV-403　開"
,I02176,"TCV-403　閉"
,I02177,"TCV-404　開"
,I02178,"TCV-404　閉"
,I02179,"Y11001 RBTb ON"
,I02180,"Y11002 RBTb OFF"
,I02181,"Y11003 RBTb 冷却ﾓｰﾄﾞ"
,I02182,"Y11004 RBTb 製氷ﾓｰﾄﾞ"
,I02183,"Y11005 SP-BTb蓄熱ON"
,I02184,"Y11006 SP-BTb 追掛ON"
,I02185,"Y11007 PPITb 放熱ON"
,I02186,"Y11008 PPTb 追掛ON"
,I02193,"Y11101 XCV401 ON"
,I02194,"Y11102 XCV402 ON"
,I02195,"Y11103 XCV403 ON"
,I02196,"Y11104 XCV404 ON"
,I02197,"Y11105 TCV401 ｲﾝﾀｰﾛｯｸ"
,I02198,"Y11106 TCV402 ｲﾝﾀｰﾛｯｸ"
,I02199,"Y11107 TCV403 ｲﾝﾀｰﾛｯｸ"
,I02200,"R-BTb蓄熱運転状態"
,I02201,"R-BTb放熱運転状態"
,I02202,"R-BTb追掛運転状態"
,I02203,"HEX-BTb凍結温度警報"
